@relation preprocessamentoCK

@attribute CLASSE REAL 
@attribute CBO REAL 
@attribute DIT REAL 
@attribute LCOM REAL 
@attribute NOC REAL 
@attribute RFC REAL 
@attribute WMC REAL 
@attribute UOTESTED {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@data
1,4,1,1,0,11,11,2
1,14,0,2,0,3,1,2
1,16,1,1,0,44,62,2
1,0,0,2,0,2,0,2
1,0,0,0,0,40,0,2
1,1,1,1,0,1,1,2
1,6,3,1,0,35,27,1
1,0,0,0,0,2,0,2
1,0,1,2,0,5,3,2
1,3,1,1,0,6,3,1
1,0,0,0,0,20,0,2
1,6,1,2,0,6,3,2
1,3,1,1,0,6,3,1
1,4,1,2,0,5,3,2
1,3,1,1,0,6,3,1
1,3,1,0,0,1,1,2
1,4,4,2,0,12,9,2
1,7,1,2,0,13,5,2
1,4,1,0,0,5,5,2
1,4,1,2,0,11,5,2
1,1,1,5,0,13,12,2
1,8,1,4,0,15,7,2
1,4,1,1,0,7,2,2
1,2,1,3,0,7,3,1
1,0,1,1,0,7,4,2
1,3,1,2,0,20,15,2
1,6,1,1,0,13,7,2
1,7,1,2,0,13,8,2
1,1,1,1,0,2,2,2
1,6,1,2,0,6,2,2
1,2,1,1,0,14,8,2
1,20,1,2,0,10,3,2
1,3,1,1,0,5,22,2
1,1,1,1,0,2,1,1
1,4,1,4,0,8,8,2
1,0,1,1,1,11,1,1
1,13,1,1,0,34,8,1
1,11,1,1,0,34,4,1
1,11,1,1,0,30,6,1
1,12,1,1,0,20,10,1
1,24,1,1,0,86,41,1
1,12,1,1,0,24,2,1
1,12,1,1,0,50,10,1
1,19,1,1,0,100,52,1
1,11,1,1,0,19,5,1
1,12,1,1,0,30,9,1
1,8,1,1,0,19,1,1
1,11,1,1,0,22,2,1
1,10,1,1,0,31,11,1
1,12,1,2,0,26,3,1
1,29,1,1,0,163,4,1
1,14,1,1,0,41,5,1
1,10,1,1,0,21,5,1
1,11,1,1,0,24,3,1
1,11,1,1,0,24,3,1
1,6,1,1,0,49,27,1
1,6,1,1,0,25,5,1
1,8,1,1,0,17,3,1
1,9,1,1,0,17,1,1
1,10,1,1,0,27,8,1
1,6,1,1,0,13,1,1
1,9,1,1,0,23,6,1
1,8,1,1,0,19,4,1
1,13,1,1,0,32,10,1
1,10,1,1,0,22,5,1
1,22,1,1,0,42,6,1
1,11,1,1,0,24,3,1
1,11,1,1,0,21,3,1
1,14,1,1,0,38,28,1
1,16,1,1,0,29,9,1
1,9,1,1,0,30,12,1
1,14,1,1,0,35,6,1
1,5,1,5,0,28,16,1
1,15,1,1,0,35,7,1
1,6,1,1,0,8,1,1
1,14,1,1,0,21,5,1
1,7,1,1,0,12,1,2
1,9,1,1,0,17,4,2
1,13,1,1,0,19,2,2
1,8,1,1,0,12,1,2
1,11,1,1,0,21,1,2
1,8,1,1,0,11,1,1
1,7,1,1,0,21,2,1
1,12,1,1,0,52,27,1
1,3,1,1,0,3,1,1
1,3,1,1,0,7,1,1
1,12,1,1,0,37,7,1
1,15,1,1,0,37,3,1
1,4,1,1,0,5,1,1
1,4,1,1,0,5,1,1
1,7,1,1,0,12,1,1
1,11,1,1,0,36,16,1
1,5,1,1,0,6,3,2
1,14,1,1,0,35,24,2
1,0,0,4,0,13,3,2
1,1,1,1,0,1,1,2
1,0,0,0,0,1,0,2
1,58,1,7,0,46,16,1
1,2,0,3,0,4,2,1
1,55,1,2,0,29,15,1
1,1,1,1,0,3,1,1
1,0,0,0,0,0,0,2
1,1,1,1,0,5,1,2
1,1,1,2,0,9,10,2
1,11,1,4,0,73,22,2
1,47,1,1,0,43,27,2
1,2,1,1,0,15,8,1
1,12,0,2,0,2,0,2
1,1,0,2,0,2,0,2
1,0,0,0,0,2,0,2
1,33,4,3,0,11,8,2
1,0,1,1,0,3,1,1
1,0,0,0,0,4,0,2
1,19,1,0,0,17,8,2
1,0,0,0,0,1,0,2
1,13,0,2,0,2,0,2
1,0,0,0,0,3,0,2
1,0,0,0,0,2,0,2
1,10,1,2,0,5,4,2
1,3,0,2,0,2,0,2
1,8,0,2,0,2,0,2
1,24,0,2,0,2,0,2
1,11,0,2,0,2,0,2
1,0,0,0,0,1,0,2
1,7,1,2,0,16,9,2
1,1,1,2,0,25,18,2
1,48,1,2,0,17,10,2
1,13,1,2,0,18,11,2
1,2,1,2,0,19,12,2
